<Trait>	GerminationCount	DaystoSilk	DaysToTassel	GDDDaystoSilk	GDDDaystoTassel	GDDAnthesis-SilkingInterval	TasselLength	MainSpikeLength	TasselPrimaryBranches	TasselBranchLength	SecondaryBranchNumber	PlantHeight	EarHeight	LeafLength	LeafWidth	UpperLeafAngle	MiddleLeafAngle	TilleringIndex	NIRStarch	NIRProtein	NIROil	NorthernLeafBlight	CobDiameter	CobWeight	EarDiameter	EarLength	SeedSetLength	EarRowNumber	TotalKernelVolume	EarWeight	EarRankNumber	20KernelWeight	RowQuality
Hi27	6	121	121	964.80278	NaN	NaN	269	186	14	160	2	165	100	841	76	75	75	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
HP301	2	102	98	964.80278	944.110555	20.69222	401.5	278	9	264	1	100	35	752	66	45	52.5	1	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Hy	8	98	97	944.110555	936.94222	7.163335	288.5	244.5	7.5	178	0	95	45	578	59	45	57.5	0	69.43	12.12	3.62	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
I137TN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
I205	4	88	87	847.05278	832.163335	14.884445	307	225	6	198	1	120	50	678	57	60	57.5	NaN	NaN	NaN	NaN	4.5	21	6.1	32	91	NaN	10	10	19	NaN	5.1	2
I29	6	80	77	720.831665	680.55278	40.27389	339	257	11	208	0	115	55	721	76	45	45	NaN	68.34	13.25	3.86	7	25	13.4	35.66666667	123.6666667	NaN	18	46.66666667	49.33333333	NaN	2.533333333	1
IA2132	1	90	86	870.55278	812.581665	57.97111	391	329	8	296	1	105	40	642	72	55	62.5	NaN	58.96	18.82	6.27	6	27	8.1	35	119	NaN	12	40	33	NaN	5.7	3
Ia5125	1	86	85	812.581665	793.884445	18.69222	218	197	6	NaN	NaN	85	25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
IDS28	11	93	90	904.77389	870.55278	34.22111	285.5	221.5	15	160	0	135	70	657	54	55	60	0	66.57	16.93	4.79	6	17	4.2	NaN	NaN	75	NaN	NaN	NaN	NaN	2.3	2
IDS69	1	107	107	964.80278	964.80278	0	308	222	13	178	0	70	40	644	51	NaN	50	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
IDS91	3	94	92	913.634445	896.413335	17.22111	328	249	10	190	0	75	35	629	59	50	32.5	NaN	64.99	12.95	3.8	3	NaN	NaN	28	132	63	14	NaN	27	12	NaN	2
Il101	3	85	83	793.884445	765	28.884445	388	261	11	240	3	110	15	676	50	60	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
Il14H	5	85	83	793.884445	765	28.884445	415	252.5	12	286	1	145	45	582	67	40	35	0	61.68	19.02	7	5	22	11.7	36	120	NaN	10	60	49	NaN	8.6	1
Il677a	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
K148	4	97	93	936.94222	904.77389	32.163335	339	234	10.5	198	0	120	25	676	58	75	82.5	NaN	64.43	17.29	4.59	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
K4	9	NaN	107	NaN	964.80278	NaN	338	239	17	224	0	140	60	730	88	70	70	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
K55	4	107	101	964.80278	964.80278	0	238.5	187	8.5	156	1	110	35	656	70	65	65	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
K64	9	94	94	913.634445	913.634445	0	370	289	12	208	1	170	80	905	88	60	67.5	NaN	72.68	10.7	2.99	3	31	24.05	47	173	156	14	125	114.5	28	6	1
Ki11	8	121	119	964.80278	964.80278	0	336	272	11	242	2	155	90	941	116	75	75	NaN	NaN	NaN	NaN	4	32	21.7	41	143	120	12	60	52	24	3.2	1
Ki14	6	NaN	NaN	NaN	NaN	NaN	321	169	18	178	7	NaN	NaN	827	100	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Ki2021	5	NaN	NaN	NaN	NaN	NaN	351	150	25	224	5	NaN	NaN	803	115	NaN	NaN	1	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
Ki21	6	NaN	121	NaN	NaN	NaN	374	205	18	298	3	130	65	777	83	60	NaN	1	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
Ki3	5	104	100	964.80278	964.80278	0	279	158	11	238	4	135	60	865	100	70	60	NaN	59.96	14.34	5	2	32	25.4	37	132	64	14	NaN	40	11	2.7	2
Ki43	3	NaN	NaN	NaN	NaN	NaN	377	279	7	276	2	115	42.5	NaN	NaN	60	75	1	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Ki44	3	NaN	121	NaN	NaN	NaN	298	210	12	228	5	125	60	701	87	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Ky21	2	106	100	964.80278	964.80278	0	391	234	12	304	5	150	80	794	102	80	77.5	NaN	63.83	16.1	3.61	3	30	30.7	40	162	NaN	12	60	67	NaN	6.4	2
KY226	5	NaN	NaN	NaN	NaN	NaN	308	249	14	212	2	150	60	862	85	55	40	NaN	NaN	NaN	NaN	4	25	11.5	36	97	68	12	40	40	12	5.4	3
KY228	2	100	97	964.80278	936.94222	27.860555	320	205	20	230	4	155	65	860	91	70	57.5	NaN	66.13	14.02	3.95	3	25	15.3	31	141	108	10	40	36	21	3.9	2
L317	8	101	94	964.80278	913.634445	51.163335	319	219	22	148	1	190	100	762	96	60	47.5	NaN	66.61	14.74	4.93	3	34	29.8	42	201	NaN	16	40	NaN	NaN	5.2	2
L578	5	102	102	964.80278	964.80278	0	360	247	6.5	230	2	215	120	865	100	85	75	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
M017	7.6	91.11111111	86.44444444	870.1958344	811.1639588	59.02937438	326.4	270	4	188.4	0.3	139	57	532.35	79.15	46	62.36842105	NaN	NaN	NaN	NaN	2.5	21.2	13.13333333	35.4	184.2666667	169.9333333	8.933333333	96.66666667	83.4	31.06666667	6	1.7
M14	8	90	88	870.55278	847.05278	23.5	376	288	7	254	0	120	35	610	80	30	55	NaN	68.18	15.68	4.09	2	30	18.55	46	150	98	16	90	81.5	19	5.15	2
M162W	8	NaN	NaN	NaN	NaN	NaN	276	220	8	178	2	125	70	826	95	35	50	1	NaN	NaN	NaN	3	24	10	34.5	106.5	76	12	30	25.5	12	2.4	2
M37W	5	NaN	96	NaN	930.47111	NaN	417	289	13	276	4	160	80	946	115	75	60	NaN	67.83	15.42	3.22	3	28.5	28.85	36.5	169	124	13	70	69	24	3.8	1
MEF156-55-2	6	85	84	793.884445	778.55278	15.331665	259.5	218.5	5	156	0	105	30	527	55	35	70	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
MO044	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MO054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Mo17	4.214285714	NaN	NaN	884.1607082	838.7774255	57.182166	NaN	NaN	NaN	217.2307692	0.307692308	NaN	NaN	NaN	NaN	NaN	55.625	0.166666667	NaN	NaN	NaN	3	21.08333333	13.13333333	NaN	176.0909091	NaN	NaN	85.83333333	NaN	NaN	6.1	1.692307692
Mo17_B73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Mo18W	5	NaN	107	NaN	964.80278	NaN	463	270	30	358	5	170	90	1004	104	80	55	NaN	NaN	NaN	NaN	2	NaN	NaN	34	124	NaN	16	NaN	31	NaN	NaN	1
MO1W	11	90	87	870.55278	832.163335	38.384445	349	242	4	276	1	140	55	742	110	40	52.5	NaN	66.57	14.51	3.66	3	29	16.35	46	125	112.5	16	115	101	27.5	4.95	1
Mo24W	8	99	94	954.02389	913.634445	40.384445	488	276	17	356	4	180	105	1024	92	75	70	NaN	63.1	14.04	4.69	4	34	37.45	43.5	141.5	NaN	NaN	60	78.5	NaN	3.7	2
Mo44	7	90	85	870.55278	793.884445	76.663335	367	300	5	238	0	150	55	845	73	65	65	NaN	67.05	12.8	4.64	2	26.5	31.5	42.5	178.5	156.5	18	160	137	29	5.7	1
Mo45	10	106	100	964.80278	964.80278	0	299.5	222.5	7	230	1	140	60	906	92	70	75	0	65.06	12.86	4.63	3	22	18.6	34	160	147	NaN	30	NaN	NaN	2.1	2
Mo46	10	98	91	944.110555	881.610555	62.5	391	258	9	288	2	155	50	860	68	65	75	NaN	61.99	15.92	5.3	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Mo47	9	88	87	847.05278	832.163335	14.884445	365.5	249	12	228	3	125	35	813	78	40	60	NaN	64.09	15.1	3.6	3	26	14.65	42	118.5	99.5	15	90	83	21.5	4.8	1
MoG	8	97	94	936.94222	913.634445	23.30278	387.5	266.5	11.5	254	1	180	100	885	129	75	60	NaN	64.01	14.3	8.23	3	31	19.25	43.5	137	108	18	70	65.5	16	5.3	1
Mp339	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
MS1334	11	84	83	778.55278	765	13.55278	328	269.5	6.5	228	0	125	35	488	48	60	60	0	NaN	NaN	NaN	6	25	16	33	132	NaN	12	50	46	NaN	6	1
MS153	6	90	86	870.55278	812.581665	57.97111	253	192.5	8	158	1	85	25	525	61	35	57.5	0	69.9	11.91	3.75	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
MS71	6	84	83	778.55278	765	13.55278	276	163	15	148	2	150	55	795	73	75	70	NaN	65.48	13.94	5	4	24	19.8	35.5	155.5	NaN	14	75	71	NaN	4.8	2
Mt42	4	73	73	633.413335	633.413335	0	198	136	8	116	0	100	45	608	81	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
N192	7	83	80	765	720.831665	44.163335	307.5	252.5	4.5	208	1	135	55	780	101	75	72.5	NaN	66.13	16.92	4.43	7	25	16.3	37	160	145	14	80	66	NaN	3.9	1
N28Ht	6	97	97	936.94222	936.94222	0	253	195	6	158	0	115	45	624	70	40	65	0	NaN	NaN	NaN	4	30	25.6	43	144	123	18	100	NaN	22	4.8	2
N6	2	NaN	NaN	NaN	NaN	NaN	303	261	11	198	0	105	40	NaN	NaN	70	60	NaN	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
N7A	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	472	34	NaN	NaN	0	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
NC222	4	109	107	964.80278	964.80278	0	296	229	12	186	1	175	75	908	106	80	55	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC230	8	108	106	964.80278	964.80278	0	272.5	211.5	8	180	2	70	30	550	105	NaN	85	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC232	1	106	104	964.80278	964.80278	0	410	266	10	296	1	130	55	717	96	70	65	NaN	NaN	NaN	NaN	3	37	26.3	NaN	NaN	NaN	20	50	NaN	22	3.8	2
NC236	7	105	104	964.80278	964.80278	0	325	206	19	208	3	130	70	827	111	45	76.66666667	NaN	68.73	13.14	3.44	2	22	11.7	29	132	NaN	NaN	20	22	NaN	3.9	1
NC238	2	NaN	NaN	NaN	NaN	NaN	270	176	11	180	0	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
NC250	9	NaN	106	NaN	964.80278	NaN	321.5	216.5	7.5	180	2	90	30	697	76	70	57.5	0	65.96	13.14	3.05	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NC258	6	102	101	964.80278	964.80278	0	324	249.5	9	188	1	165	60	807	70	75	75	1	64.77	12.66	4.98	2	27	19.6	35	128	NaN	NaN	30	36	NaN	3.9	2
NC260	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	120	30	576	58	55	NaN	0	NaN	NaN	NaN	2	21	8	34	89	88	NaN	20	NaN	NaN	2	3
NC262	3	85	84	793.884445	778.55278	15.331665	347.5	295	5	228	1	100	30	720	86	65	61.66666667	NaN	NaN	NaN	NaN	6	26	9.7	45	129	100	16	50	54	17	3.75	3
NC264	5	92	90	896.413335	870.55278	25.860555	330	258	16	202	2	140	60	776	90	55	60	NaN	68.09	14.93	4.16	2	26.5	15.2	40	125	111	13	90	76.5	17.5	6.15	2
NC290A	7	105	105	964.80278	964.80278	0	335.5	293	6	178	0	90	30	590	68	65	60	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NC294	7	107	102	964.80278	964.80278	0	257	213.5	5	136	0	130	60	627	71	55	50	0	65.31	13.3	3.43	4	24	10.8	34	120	106	NaN	40	35	NaN	4	1
NC296	7	106	106	964.80278	964.80278	0	420	299	12	294	4	160	85	984	95	70	70	NaN	NaN	NaN	NaN	3	26	14.1	31	147	NaN	12	40	36	NaN	2.9	1
NC296A	4	NaN	108	NaN	964.80278	NaN	377	307	8	284	2	110	40	825	84	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NC298	8	106	104	964.80278	964.80278	0	333	218	14	198	2	140	70	716	84	75	72.5	2	64.24	15.19	3.73	3	19	8.1	27	119	NaN	10	20	21	NaN	3	1
NC300	2	NaN	NaN	NaN	NaN	NaN	340	275	9	188	0	170	85	912	73	65	72.5	NaN	NaN	NaN	NaN	3	35	19	42	132	98	12	40	41	19	3.3	3
NC302	9	102	100	964.80278	964.80278	0	372	253	14	240	2	125	50	919	75	75	67.5	0	68.24	13.06	3.82	3	27	24.1	37	178	156	12	60	57	21	4.1	1
NC304	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	399	44	NaN	NaN	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NC306	11	91	91	881.610555	881.610555	0	296	216.5	12	218	2	145	55	736	97	65	57.5	NaN	70.1	12.84	4.04	3	23	9.65	NaN	NaN	NaN	12	65	58	19.5	5.15	2
NC310	11	94	92	913.634445	896.413335	17.22111	236	146	9	136	1	140	55	641	70	70	60	NaN	69.6	12.86	4.6	3	NaN	NaN	39.5	118.5	101.5	17	NaN	49	19.5	NaN	2
NC314	6	NaN	105	NaN	964.80278	NaN	304	239	7	170	0	130	45	628	51	55	NaN	1	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC318	7	105	105	964.80278	964.80278	0	340	215	22	220	3	145	80	909	85	65	70	0	64.31	14.35	4.1	3	20	8	29	104	NaN	NaN	NaN	NaN	NaN	NaN	2
NC320	10	103	100	964.80278	964.80278	0	297	176.5	18.5	180	3	135	70	958	91	70	65	0	67.56	14.11	4.59	2	22	11.9	39	119	98	12	50	NaN	24	2.6	1
NC324	3	92	92	896.413335	896.413335	0	330	270	6	188	1	140	60	797	68	65	52.5	NaN	73.2	11.34	3.72	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC326	2	NaN	106	NaN	964.80278	NaN	278	216.5	3	244	1	130	55	699	88	75	NaN	0	NaN	NaN	NaN	4	21	9	32	106	NaN	12	30	23	NaN	2.4	2
NC328	10	98	97	944.110555	936.94222	7.163335	272	216.5	4	180	0	140	60	696	73	75	70	0	69.73	10.79	4.3	2	22	8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC33	4	107	102	964.80278	964.80278	0	348	248	12	218	1	175	105	904	94	85	77.5	NaN	62.1	18.3	4.86	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
NC336	2	119	119	NaN	NaN	NaN	321	208	13	236	4	120	45	818	80	75	65	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC338	3	108	108	964.80278	964.80278	0	311	178	14	208	6	160	105	693	91	65	75	NaN	62.26	12.7	3.44	3	24	10.2	27	114	NaN	NaN	10	17	NaN	1.7	2
NC340	6	106	106	964.80278	964.80278	0	337	221	15	212	0	155	80	894	80	70	65	NaN	59.72	14.63	3.31	3	28	16.95	37	191	89	13	50	45	15.5	4.6	2
NC342	11	100	97	964.80278	936.94222	27.860555	324	242.5	7	200	3	150	60	824	90	55	71.66666667	1	65.27	13.72	5.99	3	23	14	30	154	137	NaN	20	NaN	NaN	4.2	1
NC344	4	100	100	964.80278	964.80278	0	269	201	7	128	0	125	45	734	78	60	77.5	0	68.17	13.07	4.98	3	20	9.1	30	112	112	12	30	28	19	3.1	2
NC346	3	NaN	NaN	NaN	NaN	NaN	321	247	10	266	2	NaN	NaN	792	78	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC348	10	107	102	964.80278	964.80278	0	314	224.5	11.5	168	2	140	75	743	87	70	70	0	NaN	NaN	NaN	3	20	8.8	30	114	97	10	40	34	17	3.8	1
NC350	2	NaN	101	NaN	964.80278	NaN	393	228	16	240	4	NaN	NaN	890	77	80	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4
NC352	7	NaN	108	NaN	964.80278	NaN	381	246	16	296	3	150	60	863	93	80	72.5	0	NaN	NaN	NaN	2	26	12.5	37	145	112	NaN	30	NaN	NaN	2.3	1
NC354	2	NaN	NaN	NaN	NaN	NaN	371	229	15	286	2	140	60	858	85	70	70	NaN	NaN	NaN	NaN	3	26	14.2	37	120	89	15	40	37	16	3.3	2
NC356	9	106	106	964.80278	964.80278	0	351	279	11	262	3	120	60	826	84	45	72.5	0	68.04	12.69	4.67	3	21	8.3	33	105	97	12	30	31	14	3.3	2
NC358	5	106	103	964.80278	964.80278	0	236	156	13	146	2	125	40	657	78	85	67.5	0	NaN	NaN	NaN	3	21	12.5	24	130	NaN	NaN	NaN	NaN	NaN	NaN	2
NC360	10	94	94	913.634445	913.634445	0	410	345.5	8.5	220	0	125	65	844	88	75	70	NaN	63.76	14	5.46	3	26	19.35	39.5	170	153.5	13	75	71.5	29	4.5	1
NC362	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NC364	7	94	92	913.634445	896.413335	17.22111	392	340	4	294	1	160	55	723	89	45	75	NaN	68.54	13.96	4.29	3	25	24.8	40	179	168	14	90	78	29	5.3	1
NC366	6	122	121	NaN	NaN	NaN	315	219	13	200	3	150	45	842	107	55	65	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NC368	8	92	92	896.413335	896.413335	0	278	212	8	180	2	155	60	772	88	80	57.5	NaN	66.86	14.34	4.18	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
ND246	9	73	73	633.413335	633.413335	0	256.5	159	13.5	178	2	105	40	560	59	55	62.5	NaN	67.18	16.16	5.13	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
Oh40B	7	93	88	904.77389	847.05278	57.72111	388	290	6	282	1	125	50	654	77	60	65	NaN	68.94	13.99	3.84	5	31	21.2	NaN	NaN	NaN	12	80	75	28	3.2	1
Oh43	6	86	85	812.581665	793.884445	18.69222	305	247.5	6	218	0	100	20	566	58	40	55	NaN	68.86	13.9	3.46	5	23	15.7	36	172	163	14	100	NaN	32	3	2
Oh43E	2	107	98	NaN	NaN	NaN	270	248.5	2	198	0	85	15	550	67	75	NaN	0	NaN	NaN	NaN	3	NaN	7	29	109	80	NaN	NaN	NaN	NaN	NaN	2
Oh603	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
OH7B	8	101	98	964.80278	944.110555	20.69222	397	267.5	7.5	226	1	155	60	753	96	75	80	0	67.23	14.39	4.49	4	22	16	32	144	NaN	12	40	43	NaN	5.1	1
Os420	7	85	83	793.884445	765	28.884445	380	309	6	274	1	165	60	832	82	NaN	57.5	NaN	61.33	19.17	3.52	5	26.5	17.4	40	143.5	NaN	13	85	78.5	NaN	4.45	2
P39	6	85	80	793.884445	720.831665	73.05278	252	200.5	7	168	0	80	30	577	49	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Pa762	6	92	91	896.413335	881.610555	14.80278	324.5	267.5	5	240	0	150	65	735	95	80	55	NaN	66.58	15.2	4.6	2	27	20.7	41	144	137	14	110	104	27.5	5.7	3
Pa875	6	97	94	936.94222	913.634445	23.30278	293.5	206	22	136	0	115	55	701	73	35	65	0	68.86	13.67	3.55	3	26	14.55	41	138.5	107	15	100	67.5	22.5	3.9	2
Pa880	9	105	94	NaN	NaN	NaN	338.5	186	14.5	222	4	125	50	735	79	70	70	2	66.79	15.57	4.31	NaN	25	12.9	36	106	86	14	30	29	12	2.7	2
Pa91	9	107	97	NaN	NaN	NaN	376	266.5	7.5	188	1	130	45	802	83	65	57.5	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
R109B	8	87	87	832.163335	832.163335	0	329.5	243	8.5	156	0	145	60	772	56	70	55	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
R168	8	84	85	778.55278	793.884445	-15.331665	316	227	9	230	2	150	65	763	68	65	62.5	NaN	69.07	14.32	5.63	4	22.5	11.75	32.5	135	131.5	15	45	46	29	2.1	1
R177	8	87	85	832.163335	793.884445	38.27389	319.5	227.5	7	198	0	155	45	727	83	45	55	NaN	73.69	11.5	3.9	2	26.5	16.65	40	129.5	100.5	14	75	72	16.5	6.55	1
R229	5	106	102	964.80278	964.80278	0	330	276	5	170	1	140	65	795	74	80	70	1	70.91	11.3	3.68	4	27	14.3	38	115	91	16	50	40	14	3.2	1
R4	5	91	90	881.610555	870.55278	11.05278	366	276	7	210	1	160	60	817	93	65	57.5	NaN	66.79	18.08	3.47	3	24	17.05	32.5	164.5	NaN	12	65	56.5	NaN	3.9	2
SA24	9	98	90	944.110555	870.55278	73.55278	461	321.5	14	310	3	140	65	839	83	40	62.5	NaN	73.23	9.89	3.53	3	21.5	17.1	31.5	176.5	157.5	14	70	74.5	30	3.75	3
SC213R	5	106	106	964.80278	964.80278	0	357	229	16	220	4	175	70	1060	128	80	55	NaN	60.17	15.73	7.38	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
SC357	7	107	106	964.80278	964.80278	0	257	165	18	158	2	135	65	814	78	70	77.5	NaN	57.71	16.62	6.9	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
SC55	7	NaN	NaN	NaN	NaN	NaN	208	145	24	158	2	NaN	NaN	822	85	NaN	NaN	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
SD40	10	97	97	936.94222	936.94222	0	416.5	242	18	274	3	180	85	803	103	60	80	NaN	72.23	12.55	4.66	3	29.5	34.1	44	209	185.5	16	150	136	34.5	5.95	2
SD44	9	86	85	812.581665	793.884445	18.69222	334.5	253	7	148	0	120	25	639	87	70	57.5	NaN	NaN	NaN	NaN	4	25	18.3	43	179	133	16	110	85	28	3.9	4
Sg1533	8	100	98	964.80278	944.110555	20.69222	374	250	18.5	228	3	120	75	768	81	80	57.5	0	66.24	13.84	4.59	4	22	10.8	30	127	121	14	40	43	26	2.8	1
Sg18	3	NaN	107	NaN	964.80278	NaN	321	205	18	228	4	145	80	840	75	25	60	0	64.54	15.04	3.64	2	22	4.3	26	121	NaN	16	20	24	NaN	NaN	2
T232	6	98	97	944.110555	936.94222	7.163335	358	238	15	190	2	175	95	787	83	75	72.5	NaN	67.02	12.93	4.42	2	24.5	10.05	34	130	NaN	NaN	10	NaN	NaN	5.15	2
T234	3	99	94	954.02389	913.634445	40.384445	310	228	21	278	3	130	55	749	132	65	55	NaN	67.4	15.52	6.05	3	26	24.6	35	163	NaN	14	50	55	NaN	5.7	2
T8	12	98	94	944.110555	913.634445	30.47111	356	269	14	254	1	175	80	809	91	70	75	NaN	64.49	14.87	5.82	2	19	11.65	32.5	133.5	NaN	NaN	30	NaN	NaN	5.9	1
Tx303	5	NaN	104	NaN	964.80278	NaN	358	247	24	212	3	170	95	831	99	80	65	1	65.76	13.19	4.38	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
Tx601	5	121	121	NaN	NaN	NaN	341	271	18	216	1	210	140	1009	88	NaN	85	NaN	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
Tzi10	4	NaN	NaN	NaN	NaN	NaN	354	228	26	242	6	135	NaN	928	95	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
