<Trait>	GerminationCount	DaystoSilk	DaysToTassel	GDDDaystoSilk	GDDDaystoTassel	GDDAnthesis-SilkingInterval	TasselLength	MainSpikeLength	TasselPrimaryBranches	TasselBranchLength	SecondaryBranchNumber	PlantHeight	EarHeight	LeafLength	LeafWidth	UpperLeafAngle	MiddleLeafAngle	TilleringIndex	NIRStarch	NIRProtein	NIROil	NorthernLeafBlight	CobDiameter	CobWeight	EarDiameter	EarLength	SeedSetLength	EarRowNumber	TotalKernelVolume	EarWeight	EarRankNumber	20KernelWeight	RowQuality
B77	7	90	90	870.55278	870.55278	0	388	289	12	264	2	140	50	779	94	55	60	NaN	64.84	16.76	5.03	3	25	14.95	39.5	85.5	127.5	13	70	66	19	6.3	2
B79	10	89	88	860.19222	847.05278	13.134445	349.5	261	12.5	252	2	145	70	831	121	70	72.5	NaN	NaN	NaN	NaN	4	34	20.8	47.5	153	112	17	110	97	18.5	5.5	1
B84	7	NaN	107	NaN	964.80278	NaN	194	118	9	116	1	115	45	607	64	65	NaN	0	NaN	NaN	NaN	4	NaN	NaN	25	59	NaN	NaN	NaN	12	NaN	NaN	3
B97	7	98	93	944.110555	904.77389	39.331665	316.5	254.5	8.5	226	1	165	85	806	101	60	75	NaN	65.45	14.22	4.39	3	NaN	NaN	39.5	137.5	NaN	13	NaN	NaN	18	NaN	1
C103	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
C123	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
C49A	6	84	80	778.55278	720.831665	57.72111	287.5	202.5	10	168	0	95	25	520	61	NaN	40	0	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CH701-30	8	89	85	860.19222	793.884445	66.30278	349	296	3.5	222	1	115	40	608	83	45	52.5	0	NaN	NaN	NaN	6	20	14.4	35	149	129	12	90	79	27	4.2	2
CH9	4	97	94	936.94222	913.634445	23.30278	317	316.5	1	178	0	85	15	630	64	30	50	0	NaN	NaN	NaN	4	27	13.7	38	92	82	14	50	47	16	6.6	1
CI.7	5	NaN	106	NaN	964.80278	NaN	432	340	6	366	1	160	65	982	76	70	80	0	NaN	NaN	NaN	3	18	4.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CI187-2	6	122	121	964.80278	NaN	NaN	339	209	16	236	4	105	55	688	86	45	50	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CI21E	5	92	92	896.413335	896.413335	0	428	329	7	286	3	165	55	843	96	60	57.5	NaN	69.03	13.1	4.36	3	31.5	24.45	44	166	NaN	14	90	83.5	NaN	7.35	2
CI28A	9	106	102	964.80278	964.80278	0	376	282.5	10	228	2	120	55	745	97	60	60	0	66.85	14.68	4.72	4	23	13.9	31	127	58	12	40	35	12	3.8	2
CI31A	5	101	97	964.80278	936.94222	27.860555	397	276.5	16	264	2	135	75	846	92	60	57.5	NaN	64.92	14.79	5.18	2	NaN	NaN	32	130	NaN	NaN	NaN	NaN	NaN	NaN	1
CI3A	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
CI64	6	97	97	936.94222	936.94222	0	393.5	336	6.5	236	0	165	100	956	74	65	65	NaN	69.19	13.2	3.79	2	31	24	46	157	128	18	95	94	23.5	4.85	2
CI66	3	NaN	121	NaN	964.80278	NaN	196	193	2	136	0	105	NaN	390	74	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
CI90C	4	121	120	964.80278	NaN	NaN	417	247	15	320	3	117.5	57.5	615	58	65	70	0	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
CI91B	6	106	106	964.80278	964.80278	0	256.5	217	7.5	140	0	105	45	590	66	75	NaN	0	NaN	NaN	NaN	3	21	9.15	36.5	118.5	108.5	NaN	45	NaN	NaN	3.1	2
CM105	9	84	81	778.55278	736.72111	41.831665	275	251.5	2	126	0	100	25	627	60	40	67.5	0	72.18	12.02	2.93	5	24	15.9	33	164	127	NaN	30	NaN	NaN	4.1	1
CM174	9	95	90	924.110555	870.55278	53.55278	212	199.5	2	128	0	80	20	494	55	NaN	45	0	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
